12, - 0 . 1 8 9 1 7 1 1 7 0 5 3 9 )(
12.25, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2)( 
12.5, - 0 . 1 8 9 1 7 1 1 7 0 5 3 9 )(
12.75, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
13, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
13.25, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2)( 
13.5, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
13.75, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
14, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
14.25, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2)( 
14.5, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
14.75, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
15, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
15.25, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2)( 
15.5, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
15.75, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
16, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
16.25, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2)( 
16.5, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
16.75, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
17, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
17.25, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2)( 
17.5, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
17.75, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
18, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
18.25, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2)( 
18.5, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
18.75, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
19, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2 )(
19.25, - 0 . 1 8 5 7 9 3 1 1 3 9 2 2)( 
